engine,cruise_thrust,cruise_sfc,curise_mach,curise_alt
TF1000,270,0.0181,0.6,30000
TF1200,400,0.0187,0.6,30000
TF1400,400,0.0187,0.6,30000
TF1500,397,0.0193,0.6,30000
TJ60,30,0.0425,0.9,20000
TJ75,48,0.0425,0.9,20000
TJ80,48,0.0425,0.9,20000
ALF502L,2150,0.0207,0.75,30000
ALF502R-5,2250,0.0204,0.7,25000
CFE738-1-1B,1464,0.0183,0.8,40000
CFM56-2C1,4980,0.019,0.8,35000
CFM56-3B1,4650,0.0189,0.8,35000
CFM56-3B2,5040,0.0189,0.8,35000
CFM56-3C1,5370,0.0189,0.8,35000
CFM56-5A1,5000,0.0169,0.8,35000
CFM56-5A3,5000,0.0169,0.8,35000
CFM56-5A4,5000,,0.8,35000
CFM56-5A5,5000,,0.8,35000
CFM56-5B1,5840,0.0169,0.8,35000
CFM56-5B2,5840,0.0154,0.8,35000
CFM56-5B3,5840,,0.8,35000
CFM56-5B4,5000,0.0154,0.8,35000
CFM56-5C2,6915,0.0154,0.8,35000
CFM56-5C3,6910,0.0154,0.8,35000
CFM56-5C4,7100,0.0154,0.8,35000
CFM56-7B18,5420,,0.8,35000
CFM56-7B20,5450,0.0179,0.8,35000
CFM56-7B22,5450,,0.8,35000
CFM56-7B24,5480,0.0178,0.8,35000
CFM56-7B26,5480,,0.8,35000
GP7270,12633,,0.85,35000
GP7277,13700,,0.85,35000
TFE731-2,755,0.0231,0.8,40000
TFE731-3,817,0.0232,0.8,40000
TFE731-3A-2B,838,0.0233,0.8,40000
TFE731-3B-100,844,0.0231,0.8,40000
TFE731-4,929,0.0225,0.8,40000
TFE731-5,955,0.0227,0.8,40000
TFE731-5AR,986,0.0218,0.8,40000
TFE731-5BR,1052,0.0214,0.8,40000
TFE731-20,876,0.0206,0.8,40000
CF6-6D,9080,0.0183,0.8,35000
CF6-6D1,9220,0.0183,0.8,35000
CF6-6D1A,9220,0.0183,0.8,35000
CF6-45A,11250,0.0178,0.8,35000
CF6-45A2,11250,0.0178,0.8,35000
CF6-45B,11250,0.0178,0.8,35000
CF6-45B2,11250,0.0178,0.8,35000
CF6-50C,11100,0.0186,0.8,35000
CF6-50C1,11555,0.0186,0.8,35000
CF6-50C2,11555,0.0178,0.8,35000
CF6-50C2B,11555,0.0178,0.8,35000
CF6-50C2F,11555,0.0178,0.8,35000
CF6-50E,11555,0.0186,0.8,35000
CF6-50E1,11555,0.0186,0.8,35000
CF6-50E2,11555,0.0178,0.8,35000
CF6-50E2B,11730,0.0178,0.8,35000
CF6-80A,11045,0.0176,0.8,35000
